,Jobtitle,Location,Salary,Company,Cities,USDSalary
1,Graduate Environmental Scientist,"Philadelphia, PA",47783,City of Philadelphia,Philadelphia,47783.0
9,Environmental Scientist Specialist,"Philadelphia, PA",56589,City of Philadelphia,Philadelphia,56589.0
20,"Data Scientist/ Python, R","Bala-Cynwyd, PA",110000,Workbridge Associates,Philadelphia,110000.0
30,Data Scientist,"Philadelphia, PA",90000,Jobspring Partners,Philadelphia,90000.0
33,"Data Scientist/Analyst (R, Python,Google Cloud)","Philadelphia, PA",90000,Workbridge Associates,Philadelphia,90000.0
60,"Lead Data Scientist/ Python, Spark, Pandas","Philadelphia, PA",150000,Workbridge Associates,Philadelphia,150000.0
63,Lead Data Scientist,"Philadelphia, PA",140000,Workbridge Associates,Philadelphia,140000.0
84,Software Engineer - Data Scientist (python),"Philadelphia, PA",100000,Workbridge Associates,Philadelphia,100000.0
121,"Lead Data Scientist/ Python, R, Spark","Philadelphia, PA",145000,Workbridge Associates,Philadelphia,145000.0
139,Senior Machine Learning Expert/ Data Scientist,"Philadelphia, PA",110000,Workbridge Associates,Philadelphia,110000.0
191,Director of Advanced Analytics /Data Science & Data Engineer...,"Media, PA",180000,Workbridge Associates,Philadelphia,180000.0
238,Quant Research Analyst,"Philadelphia, PA",150000,3coast,Philadelphia,150000.0
269,Senior Data Scientist/Senior Machine Learning Engineer,"Norristown, PA",120000,Workbridge Associates,Philadelphia,120000.0
284,Chief Technology Officer (CTO),"King of Prussia, PA",130000,Workbridge Associates,Philadelphia,130000.0
371,"Software/DevOps/Data Engineer (yup, combo of all!)","Malvern, PA",65000,Workbridge Associates,Philadelphia,65000.0
376,Fullstack Software Engineer,"Plymouth Meeting, PA",100000,IQVIA,Philadelphia,100000.0
395,Python Developer,"Bryn Mawr, PA",75000,Jobspring Partners,Philadelphia,75000.0
408,Talented Python Engineer with Machine Learning,"Philadelphia, PA",90000,Jobspring Partners,Philadelphia,90000.0
424,UX Researcher for World Class Customer Experiences,"Malvern, PA",120000,Workbridge Associates,Philadelphia,120000.0
426,Python Engineer with Machine Learning,"Blue Bell, PA",115000,Jobspring Partners,Philadelphia,115000.0
435,"Senior Python Developer - Flask, Data Science","Plymouth Meeting, PA",120000,Workbridge Associates,Philadelphia,120000.0
444,Java Architect,"Plymouth Meeting, PA",90000,Jobspring Partners,Philadelphia,90000.0
457,Junior Data Analyst - data analysis,"Philadelphia, PA",40000,"Computer Enterprises, Inc. (CEI)",Philadelphia,40000.0
474,"Scientist (Formulation, Rheology, Polymer)","Kimberton, PA",50000,Apex Life Sciences,Philadelphia,50000.0
477,Data Engineer,"Bala-Cynwyd, PA",100000,Recruiting Resources,Philadelphia,100000.0
486,Data Engineer,"Bala-Cynwyd, PA",100000,Genesis Global Management Corporation,Philadelphia,100000.0
488,Data Science Manager,"Philadelphia, PA 19103",100000,MRP,Philadelphia,100000.0
497,Data Scientist,"Philadelphia, PA",80000,Smith Hanley Associates,Philadelphia,80000.0
506,Data Analytics (Big Data Scientist),"Wilmington, DE",70000,"Kennedy Unlimited Inc, Professional Staffing",Philadelphia,70000.0
507,Biological Research Technician,"Malvern, PA 19355",40000,Vector Biolabs,Philadelphia,40000.0
511,Data Architect/Engineer,"Bala-Cynwyd, PA",120000,"TurnKey Staffing, LLC",Philadelphia,120000.0
514,Senior Data Scientist/Statistician-PHARMA,"Philadelphia, PA",110000,Smith Hanley Associates,Philadelphia,110000.0
536,Japan Equity Research Analyst (Buy Side) - Bilingual Japanes...,"Philadelphia, PA",80000,APA International Placement Consultants,Philadelphia,80000.0
545,Lead Machine Learning Engineer,"Philadelphia, PA",125000,Mondo,Philadelphia,125000.0
635,DevOps Automation Engineer,"Philadelphia, PA 19107 (City Center East area)",114000,Sidecar,Philadelphia,114000.0
638,Software Architect Artificial Intelligence Machine Learning...,"King of Prussia, PA",117000,Liberty Personnel Services,Philadelphia,117000.0
3005,Research & Data Analyst (Long Term Temporary),"Tukwila, WA",55000,King County Housing Authority,Washington,55000.0
3043,Quantitative Fisheries Scientist,"Auburn, WA",72552,Muckleshoot Indian Tribe,Washington,72552.0
3067,Lead Fisheries Habitat Scientist,"Auburn, WA",92764,Muckleshoot Indian Tribe,Washington,92764.0
3075,Biological Science Laboratory Technician,"Pullman, WA",50598,US Department of Agriculture,Washington,50598.0
3116,Social Research Scientist - Senior,"Seattle, WA",100369,King County,Washington,100369.0
3119,Water Quality Monitoring/Data Analysis Specialist (Environme...,"Lacey, WA",50004,State of Washington Dept. of Ecology,Washington,50004.0
3127,Head Data Scientist,"Seattle, WA",200000,All-In Analytics,Washington,200000.0
3133,"principal data scientist, data & measurement science, Custom...","Seattle, WA",128000,Starbucks,Washington,128000.0
3135,Water Quality Assessment Scientist (Natural Resource Scienti...,"Lacey, WA",56580,State of Washington Dept. of Ecology,Washington,56580.0
3163,"Senior Bioinformatician, Data Sciences","Seattle, WA",90000,"PreCyte, Inc.",Washington,90000.0
3175,Sr. Data Scientist,"Seattle, WA",130000,All-In Analytics,Washington,130000.0
3187,"Senior Data Scientist, Pricing Sophistication - Product Desi...","Seattle, WA",92000,Liberty Mutual,Washington,92000.0
3191,"Senior Data Scientist, Product Design & Modeling - Global Re...","Seattle, WA",102500,Liberty Mutual,Washington,102500.0
3231,Prep Room Specialist (Environmental Specialist 2) (In Traini...,"Lacey, WA",39204,State of Washington Dept. of Ecology,Washington,39204.0
3319,Software Engineer - Data Flow,"Seattle, WA",102000,Facebook,Washington,102000.0
3322,Post Doctorate RA - WRF Modeling for Renewable Energy,"Richland, WA",47000,Pacific Northwest National Laboratory,Washington,47000.0
3375,Senior Research Analyst,"Seattle, WA",52972,Seattle Community Colleges,Washington,52972.0
